English,Arabic
لا ,No
من ,from
في ,in a
أن ,that
هذا ,This
على ,On
ما ,what
أنا ,I
هل ,Do
و ,And
يا ,Oh
ذلك ,that
لقد ,lhave
لم ,did not
ماذا ,what
كان ,He was
هنا ,Here
إلى ,to me
أنت ,You are
هو ,he is
هذه ,This is amazing
عن ,About
نعم ,Yes
ان ,that
هناك ,over there
كل ,all
حسناً ,Okay
ليس ,Not
كنت ,I was
فقط ,Just
شيء ,Thing
الآن ,right Now
مع ,With
الذي ,Which
لكن ,but
أجل ,Yes
لك ,is yours
يجب ,Should
لن ,will not
كيف ,How do
حسنا ,Okay
انا ,I
لي ,Mine
إنه ,that it
سوف ,Will
نحن ,we
إذا ,if
كانت ,she was
عندما ,When
أي ,Which
قد ,may be
لماذا ,Why
هي ,she
الأمر ,Command
أنه ,that it
فى ,in a
حتى ,Even
بعد ,distance
كذلك ,As well
أو ,or
ولكن ,But
قبل ,before
التي ,that
انه ,that it
إنها ,that it
ـ ,And
لو ,if
ربما ,Maybe
أين ,where
هيا ,Let's go
تلك ,That
أعرف ,I know
الى ,to me
إن ,that
يكون ,He is
بعض ,some
أريد ,I want
أعتقد ,I believe
انت ,you
عليك ,upon you
مثل ,Such as
صحيح ,correct
به ,with it
أنك ,You are
الوقت ,the time
بخير ,Fine
أعلم ,Know
أحد ,One
شخص ,Person
جداً ,very
رجل ,man
شكراً ,Thanks
لذا ,So
يمكن ,Could
كما ,as
كلا ,both
أكثر ,more
يبدو ,sound
جيد ,Good
تكون ,Be
علي ,Ali
اليوم ,Today
يمكنك ,you may
انها ,that it
أليس ,Is not
مرحباً ,welcome
لدي ,I have
عليه ,on him
آخر ,else
لست ,I'm not
منذ ,Ago
غير ,not
أيها ,Dear
لديك ,You have
حقاً ,Oh really
أنتِ ,you
تريد ,You want
أستطيع ,I can
الرجل ,the man
تعرف ,to get to know
له ,for him
مرة ,Once
لدينا ,we've got
أنها ,that it
يمكنني ,I can
بأن ,That
واحد ,One
أنني ,I am
أوه ,Oh
سيكون ,Will be
الناس ,the people
ليست ,Not
حدث ,Event
بها ,In
أيضاً ,also
أفضل ,better
الكثير ,a lot
علينا ,We
سيدي ,my Lord
مكان ,place
تفعل ,are doing
وقت ,time
يكن ,Not
ط ,NS
شئ ,a thing
بهذا ,by this
وأنا ,I am
اذا ,if
جدا ,very
بي ,with me
أخرى ,Other
آسف ,sorry
بك ,You
رائع ,Wonderful
بذلك ,So
كم ,How many
إذاً ,if
ثم ,Then
شيئاً ,Nothing
يوجد ,There is
واحدة ,one
ولا ,Nor
قلت ,I said
يحدث ,Happen or occur
بالطبع ,naturally
